time(min),phi,,,D1,D2,D3,D4,B1,B2,B3
380,0.5,0.497,0.498,0.502,0.487,0.479,0.48,0.41,0.467,0.441
390,0.508,0.506,0.508,0.51,0.494,0.487,0.487,0.42,0.478,0.45
400,0.516,0.513,0.515,0.518,0.5,0.494,0.494,0.432,0.486,0.458
410,0.523,0.521,0.523,0.525,0.508,0.501,0.5,0.44,0.495,0.467
420,0.53,0.528,0.53,0.532,0.515,0.507,0.508,0.449,0.505,0.475
430,0.537,0.536,0.538,0.54,0.52,0.513,0.514,0.458,0.516,0.485
440,0.544,0.542,0.544,0.546,0.526,0.52,0.519,0.466,0.526,0.494
450,0.55,0.548,0.552,0.552,0.533,0.525,0.526,0.474,0.532,0.5
460,0.555,0.554,0.558,0.559,0.539,0.531,0.531,0.485,0.538,0.51
470,0.561,0.561,0.565,0.565,0.545,0.537,0.536,0.493,0.541,0.516
480,0.566,0.565,0.571,0.57,0.55,0.542,0.541,0.504,0.544,0.526
490,0.57,0.57,0.578,0.575,0.555,0.547,0.546,0.512,0.542,0.53
500,0.576,0.575,0.581,0.581,0.558,0.552,0.551,0.519,0.542,0.534
510,0.581,0.579,0.584,0.585,0.563,0.556,0.555,0.526,0.545,0.537
520,0.584,0.584,0.588,0.589,0.567,0.56,0.558,0.53,0.551,0.541
530,0.584,0.587,0.591,0.591,0.57,0.564,0.561,0.535,0.553,0.546
540,0.586,0.589,0.593,0.592,0.573,0.568,0.565,0.536,0.556,0.541
550,0.585,0.588,0.592,0.591,0.576,0.571,0.569,0.536,0.559,0.546
560,0.584,0.587,0.594,0.591,0.578,0.574,0.569,0.537,0.56,0.549
570,0.584,0.589,0.592,0.59,0.58,0.576,0.569,0.537,0.561,0.548
580,0.583,0.588,0.592,0.589,0.58,0.576,0.568,0.538,0.564,0.551
590,0.583,0.587,0.591,0.588,0.579,0.575,0.567,0.543,0.565,0.552
600,0.582,0.587,0.591,0.587,0.578,0.574,0.566,0.545,0.566,0.554
610,0.582,0.587,0.591,0.586,0.577,0.573,0.564,0.546,0.568,0.555
620,0.581,0.586,0.59,0.584,0.575,0.572,0.563,0.547,0.573,0.56
630,0.58,0.586,0.589,0.583,0.573,0.57,0.562,0.552,0.573,0.56
640,0.579,0.586,0.589,0.582,0.572,0.569,0.559,0.555,0.564,0.563
650,0.578,0.585,0.589,0.58,0.571,0.567,0.558,0.556,0.566,0.564
660,0.578,0.584,0.588,0.579,0.568,0.566,0.556,0.559,0.566,0.566
670,0.577,0.584,0.587,0.578,0.567,0.564,0.555,0.56,0.564,0.562
680,0.577,0.583,0.586,0.577,0.565,0.562,0.553,0.564,0.567,0.565
690,0.575,0.582,0.586,0.576,0.563,0.56,0.551,0.563,0.569,0.564
700,0.575,0.582,0.585,0.575,0.562,0.559,0.55,0.565,0.564,0.564
710,0.573,0.581,0.585,0.574,0.56,0.557,0.548,0.562,0.563,0.561
720,0.572,0.58,0.584,0.572,0.559,0.555,0.546,0.564,0.562,0.562
730,0.572,0.579,0.583,0.571,0.558,0.554,0.546,0.558,0.562,0.553
740,0.571,0.578,0.583,,,,,0.554,0.562,0.555
750,0.57,0.578,0.582,,,,,0.561,0.563,0.555
760,0.569,0.577,0.581,,,,,0.558,0.562,0.555
770,0.568,0.576,0.58,,,,,0.557,0.561,0.557
780,0.567,0.575,0.58,,,,,0.553,0.561,0.56
790,0.566,0.575,0.58,,,,,0.552,0.561,0.558
800,0.566,0.574,0.579,,,,,0.551,0.561,0.553
810,0.565,0.573,0.578,,,,,0.551,0.56,0.552
820,0.563,0.572,0.577,,,,,0.55,0.56,0.554
830,0.563,0.572,0.576,,,,,0.551,0.56,0.556
840,0.562,0.571,0.576,,,,,0.55,0.56,0.551
850,0.561,0.57,0.575,,,,,0.55,0.559,0.55
860,0.559,0.569,0.574,,,,,0.549,0.558,0.551
870,0.558,0.568,0.573,,,,,0.549,0.557,0.548
880,0.558,0.568,0.573,,,,,0.549,0.557,0.548
890,0.557,0.566,0.572,,,,,0.549,0.557,0.547
900,0.556,0.566,0.571,,,,,0.548,0.557,0.547
910,0.554,0.565,0.57,,,,,0.548,0.556,0.546
920,0.554,0.564,0.57,,,,,0.547,0.555,0.545
930,0.553,0.563,0.569,,,,,0.547,0.554,0.545
940,0.552,0.563,0.568,,,,,0.546,0.554,0.546
950,0.551,0.562,0.568,,,,,0.545,0.553,0.543
960,0.55,0.561,0.567,,,,,0.545,0.554,0.543
970,0.549,0.56,0.566,,,,,0.545,0.553,0.543
980,0.547,0.559,0.566,,,,,0.544,0.552,0.541
990,0.546,0.558,0.565,,,,,0.544,0.552,0.541
1000,0.545,0.557,0.563,,,,,0.543,0.551,0.54
1010,0.544,0.557,0.564,,,,,0.542,0.551,0.54
1020,0.543,0.556,0.562,,,,,0.542,0.55,0.539
1030,0.542,0.555,0.562,,,,,0.541,0.549,0.538
1040,0.541,0.554,0.561,,,,,0.54,0.549,0.537
1050,0.54,0.553,0.56,,,,,0.539,0.547,0.537
1060,0.54,0.553,0.56,,,,,0.539,0.547,0.542
1070,0.539,0.552,0.559,,,,,0.539,0.547,0.535
1080,0.537,0.552,0.558,,,,,0.538,0.546,0.535
1090,0.537,0.55,0.558,,,,,0.537,0.545,0.534
